IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
UV_1,UV radiation,numeric,EUR,Europe,Country,CZE,Czechia,Year,2004,true,,,,,,,,,,,,,1707,,,,,,"1,707",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,POL,Poland,Year,2004,true,,,,,,,,,,,,,1749,,,,,,"1,749",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,EST,Estonia,Year,2004,true,,,,,,,,,,,,,1781,,,,,,"1,781",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,BLR,Belarus,Year,2004,true,,,,,,,,,,,,,1795,,,,,,"1,795",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2004,true,,,,,,,,,,,,,1795,,,,,,"1,795",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,SVK,Slovakia,Year,2004,true,,,,,,,,,,,,,1795,,,,,,"1,795",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,LTU,Lithuania,Year,2004,true,,,,,,,,,,,,,1801,,,,,,"1,801",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,DEU,Germany,Year,2004,true,,,,,,,,,,,,,1812,,,,,,"1,812",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,UKR,Ukraine,Year,2004,true,,,,,,,,,,,,,1843,,,,,,"1,843",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AMR,Americas,Country,CAN,Canada,Year,2004,true,,,,,,,,,,,,,1887,,,,,,"1,887",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,AUT,Austria,Year,2004,true,,,,,,,,,,,,,1888,,,,,,"1,888",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,FRA,France,Year,2004,true,,,,,,,,,,,,,1907,,,,,,"1,907",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,MCO,Monaco,Year,2004,true,,,,,,,,,,,,,1907,,,,,,"1,907",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2004,true,,,,,,,,,,,,,1910,,,,,,"1,910",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,HUN,Hungary,Year,2004,true,,,,,,,,,,,,,1932,,,,,,"1,932",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,SMR,San Marino,Year,2004,true,,,,,,,,,,,,,1932,,,,,,"1,932",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,HRV,Croatia,Year,2004,true,,,,,,,,,,,,,1976,,,,,,"1,976",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2004,true,,,,,,,,,,,,,10224,,,,,,"10,224",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,ROU,Romania,Year,2004,true,,,,,,,,,,,,,2071,,,,,,"2,071",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,CHE,Switzerland,Year,2004,true,,,,,,,,,,,,,2158,,,,,,"2,158",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2004,true,,,,,,,,,,,,,2205,,,,,,"2,205",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,WPR,Western Pacific,Country,MNG,Mongolia,Year,2004,true,,,,,,,,,,,,,2226,,,,,,"2,226",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,SVN,Slovenia,Year,2004,true,,,,,,,,,,,,,2256,,,,,,"2,256",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,KAZ,Kazakhstan,Year,2004,true,,,,,,,,,,,,,2257,,,,,,"2,257",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2004,true,,,,,,,,,,,,,2331,,,,,,"2,331",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2004,true,,,,,,,,,,,,,2335,,,,,,"2,335",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,MKD,The former Yugoslav Republic of Macedonia,Year,2004,true,,,,,,,,,,,,,2403,,,,,,"2,403",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,ITA,Italy,Year,2004,true,,,,,,,,,,,,,2444,,,,,,"2,444",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,AND,Andorra,Year,2004,true,,,,,,,,,,,,,2469,,,,,,"2,469",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2004,true,,,,,,,,,,,,,2487,,,,,,"2,487",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,GEO,Georgia,Year,2004,true,,,,,,,,,,,,,2489,,,,,,"2,489",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2004,true,,,,,,,,,,,,,2521,,,,,,"2,521",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2004,true,,,,,,,,,,,,,2535,,,,,,"2,535",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,ALB,Albania,Year,2004,true,,,,,,,,,,,,,2542,,,,,,"2,542",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,PRT,Portugal,Year,2004,true,,,,,,,,,,,,,2585,,,,,,"2,585",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2004,true,,,,,,,,,,,,,2702,,,,,,"2,702",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,ESP,Spain,Year,2004,true,,,,,,,,,,,,,2705,,,,,,"2,705",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AMR,Americas,Country,USA,United States of America,Year,2004,true,,,,,,,,,,,,,2736,,,,,,"2,736",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,GRC,Greece,Year,2004,true,,,,,,,,,,,,,2753,,,,,,"2,753",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,ARM,Armenia,Year,2004,true,,,,,,,,,,,,,2899,,,,,,"2,899",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,WPR,Western Pacific,Country,CHN,China,Year,2004,true,,,,,,,,,,,,,2908,,,,,,"2,908",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,TUR,Turkey,Year,2004,true,,,,,,,,,,,,,2924,,,,,,"2,924",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2004,true,,,,,,,,,,,,,2953,,,,,,"2,953",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,WPR,Western Pacific,Country,NRU,Nauru,Year,2004,true,,,,,,,,,,,,,3022,,,,,,"3,022",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,MLT,Malta,Year,2004,true,,,,,,,,,,,,,3091,,,,,,"3,091",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2004,true,,,,,,,,,,,,,3094,,,,,,"3,094",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2004,true,,,,,,,,,,,,,3164,,,,,,"3,164",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2004,true,,,,,,,,,,,,,3172,,,,,,"3,172",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2004,true,,,,,,,,,,,,,3206,,,,,,"3,206",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AMR,Americas,Country,URY,Uruguay,Year,2004,true,,,,,,,,,,,,,3235,,,,,,"3,235",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AFR,Africa,Country,DZA,Algeria,Year,2004,true,,,,,,,,,,,,,3253,,,,,,"3,253",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2004,true,,,,,,,,,,,,,3262,,,,,,"3,262",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,CYP,Cyprus,Year,2004,true,,,,,,,,,,,,,3439,,,,,,"3,439",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AMR,Americas,Country,ARG,Argentina,Year,2004,true,,,,,,,,,,,,,3476,,,,,,"3,476",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2004,true,,,,,,,,,,,,,3501,,,,,,"3,501",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2004,true,,,,,,,,,,,,,3538,,,,,,"3,538",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2004,true,,,,,,,,,,,,,3568,,,,,,"3,568",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,ISR,Israel,Year,2004,true,,,,,,,,,,,,,3682,,,,,,"3,682",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2004,true,,,,,,,,,,,,,3825,,,,,,"3,825",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2004,true,,,,,,,,,,,,,3861,,,,,,"3,861",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2004,true,,,,,,,,,,,,,3900,,,,,,"3,900",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2004,true,,,,,,,,,,,,,3979,,,,,,"3,979",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,AMR,Americas,Country,CHL,Chile,Year,2004,true,,,,,,,,,,,,,3982,,,,,,"3,982",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2004,true,,,,,,,,,,,,,4026,,,,,,"4,026",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2004,true,,,,,,,,,,,,,4029,,,,,,"4,029",,,EN,2013-06-10T22:00:00.000Z
