Location,Age-standardized suicide rates (per 100 000 population),Mean BMI (kg/m²) (age-standardized estimate),UV radiation,"Nurses working in mental health sector (per 100,000)",Adolescent birth rate (per 1000 women aged 15-19 years),"13-15-years old any alcoholic beverage consumed in past 30 days, (%)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",Estimate of daily tobacco use prevalence (%),Government expenditures on mental health as a percentage of total government expenditures on health (%),"Psychiatrists working in mental health sector (per 100,000)","Mental hospital admissions (per 100,000)",Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),"Social workers working in mental health sector (per 100,000)",Proportion of women aged 20-24 years who were married or in a union by age 15 (%)
Germany,8.72,26.55,1.812,,8.266666666666667,,12.9,19.9,11.0,13.2,725.1,12.956666666666665,24.8,,
Ghana,11.69,23.9,5.166,7.73,75.55,,2.8,2.8,2.0,0.058,15.13,38.276666666666664,17.5,,5.0
Greece,3.6633333333333336,27.1,2.753,12.75,8.766666666666666,,10.2,29.6,4.43,5.8,69.05,35.57666666666666,23.9,3.46,
Grenada,0.7333333333333334,26.95,4.875,0.94,,,9.5,,,1.87,455.3,54.78666666666666,20.3,2.81,
Guatemala,6.206666666666667,26.55,5.141,1.07,79.43333333333334,16.8,2.5,,1.46,0.49,8.85,55.303333333333335,16.1,0.006,6.0
Guinea,12.75,22.9,5.391,,126.3,,1.1,,,0.025,,51.776666666666664,23.6,0.008,19.0
Guinea-Bissau,13.106666666666667,23.4,5.319,0.79,84.0,,5.4,,,,,73.33666666666666,23.9,0.17,6.0
Guyana,39.60333333333333,26.35,5.203,,,,6.9,11.5,1.35,0.91,,30.570000000000004,18.2,,4.0
Haiti,11.686666666666667,25.25,5.016,0.23,54.8,,2.7,5.1,0.61,0.075,19.37,36.41,19.3,0.37,3.0
Honduras,3.313333333333334,26.75,4.924,,,,3.8,,1.61,,52.47,50.120000000000005,15.9,,8.0
Hungary,13.520000000000001,27.25,1.932,33.74,23.5,,11.4,24.0,5.1,11.08,0.0,27.400000000000002,33.3,,
Iceland,12.363333333333335,26.2,,,6.8999999999999995,,9.1,11.1,8.69,,0.0,16.986666666666668,16.9,,
India,12.666666666666666,21.75,4.514,0.8,10.899999999999999,,5.5,21.3,,0.29,,63.423333333333325,22.7,0.065,7.0
